"Commodity","Date","Market","Origin","Variety","Sub-Variety","Package","Item Size","Unit of Sale","Environment","Grade","Product Type","High Price","Low Price","Avg Price"
"APPLES","9/23/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","22","23.5"
"APPLES","11/26/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","25","25"
"APPLES","1/15/05","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","14","17.75"
"APPLES","2/10/18","BALTIMORE","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","20","20"
"APPLES","9/30/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","10/21/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","11/29/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/11/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","19","19.5"
"APPLES","12/20/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/25/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","19","19.5"
"APPLES","1/8/05","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","12/27/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","5/3/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","2/28/98","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","12/4/10","CHICAGO","WASHINGTON","CAMEO","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","24","24","24"
"APPLES","3/24/07","ATLANTA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","24","24.5"
"APPLES","1/8/11","CHICAGO","WASHINGTON","CAMEO","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","24","24","24"
"APPLES","5/24/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","6/24/00","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","13","13","13"
"APPLES","5/17/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","5/10/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","5/19/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","21","21.5"
"APPLES","9/13/03","BALTIMORE","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","20","20"
"APPLES","5/16/98","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","4/11/98","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","2/21/98","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","16","16.5"
"APPLES","1/8/11","CHICAGO","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","24","23","23.5"
"APPLES","2/22/03","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","13","10","11.5"
"APPLES","3/16/02","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","13","13","13"
"APPLES","9/29/07","ATLANTA","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","20","20"
"APPLES","5/3/03","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","10","12"
"APPLES","5/10/03","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","10","12"
"APPLES","3/15/03","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","10","12"
"APPLES","9/24/05","NEW YORK","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","10/3/98","ST. LOUIS","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","11.5","11","11.25"
"APPLES","4/17/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","5/1/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","10/2/99","BALTIMORE","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","9/25/99","BALTIMORE","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","5/8/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","4/24/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","9/18/99","BALTIMORE","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","9/11/99","BALTIMORE","WASHINGTON","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","16","16","16"
"APPLES","1/12/08","NEW YORK","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","8/22/98","CHICAGO","WASHINGTON","GINGER GOLD","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","17","17"
"APPLES","9/26/98","CHICAGO","WASHINGTON","GINGER GOLD","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","17","17"
"APPLES","5/15/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","8/21/04","ATLANTA","WASHINGTON","GINGER GOLD","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.5","19","19.25"
"APPLES","3/31/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22.75","22.75","22.75"
"APPLES","5/22/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","5/29/99","LOS ANGELES","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12","12","12"
"APPLES","2/24/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","24","18","21"
"APPLES","3/24/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22.75","21.25","22"
"APPLES","1/5/08","NEW YORK","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","11/25/06","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.5","18","18.75"
"APPLES","1/20/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","18","19"
"APPLES","11/9/02","NEW YORK","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","18","18","18"
"APPLES","5/17/03","LOS ANGELES","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","14","14"
"APPLES","5/10/03","LOS ANGELES","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","14","14"
"APPLES","10/28/06","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","18","19"
"APPLES","10/24/98","DALLAS","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12.75","12.75","12.75"
"APPLES","12/31/05","COLUMBIA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","17","17"
"APPLES","10/3/98","DALLAS","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12.75","12.75","12.75"
"APPLES","1/24/98","BALTIMORE","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15.5","15.5","15.5"
"APPLES","10/31/98","DALLAS","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12.75","12.75","12.75"
"APPLES","10/21/06","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20.75","20","20.375"
"APPLES","9/26/98","DALLAS","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","12.75","12.75","12.75"
"APPLES","2/11/12","ATLANTA","WASHINGTON","GRANNY SMITH","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","26.5","26.5","26.5"
"APPLES","5/2/98","DALLAS","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","13.5","13.5","13.5"
"APPLES","1/23/99","PHILADELPHIA","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","14","14.5"
"APPLES","3/11/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","3/18/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","3/25/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","4/1/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","8/29/98","CHICAGO","WASHINGTON","GINGER GOLD","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","17","17"
"APPLES","4/8/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","4/15/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","4/22/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","5/6/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","4/29/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","5/13/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","11/16/02","NEW YORK","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","18","18","18"
"APPLES","7/21/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21","20","20.5"
"APPLES","10/1/05","NEW YORK","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","9/24/05","NEW YORK","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","6/10/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","3/3/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20.75","19","19.875"
"APPLES","6/17/00","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","14","13","13.5"
"APPLES","4/3/99","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","10","10","10"
"APPLES","4/10/99","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","10","10","10"
"APPLES","4/17/99","LOS ANGELES","WASHINGTON","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","10","10","10"
"APPLES","5/26/07","LOS ANGELES","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","18","18","18"
"APPLES","10/4/03","ATLANTA","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","16.5","16.75"
"APPLES","10/11/03","ATLANTA","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","16.5","16.75"
"APPLES","11/9/02","NEW YORK","WASHINGTON","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","18","18","18"
"APPLES","5/26/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","19","20.5"
"APPLES","6/2/07","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19","19","19"
"APPLES","5/8/04","PHILADELPHIA","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","13","13","13"
"APPLES","4/24/04","ST. LOUIS","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.9","19.9","19.9"
"APPLES","4/17/04","ST. LOUIS","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.9","19.9","19.9"
"APPLES","4/10/04","ST. LOUIS","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.9","19.9","19.9"
"APPLES","4/3/04","ST. LOUIS","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","19.9","10.9","15.4"
"APPLES","3/27/04","ST. LOUIS","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","10.9","10.9","10.9"
"APPLES","10/7/06","ATLANTA","WASHINGTON","RED DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","7/19/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","9/5/98","CHICAGO","WASHINGTON","GINGER GOLD","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","17","17","17"
"APPLES","7/12/03","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","11/9/02","NEW YORK","WASHINGTON","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","18","17","17.5"
